Temperature	Pressure	Density	Volume	InternalEnergy	Enthalpy	Entropy	Cv	Cp	SoundSpd	Joule-Thomson	Viscosity	Therm.Cond.	Surf.Tension	Density	Volume	InternalEnergy	Enthalpy	Entropy	Cv	Cp	SoundSpd.	Joule-Thomson	Viscosity	Therm.Cond.
273.16	0.00061165	55.497	0.018019	-7.3426e-13	1.1021e-05	-2.6289e-12	75.978	76.023	1402.3	-0.24142	1791.4	0.55560	0.075646	0.00026947	3711.0	42.785	45.055	164.94	25.553	33.947	409.00	592.65	8.9458	0.016761
278.16	0.00087318	55.504	0.018017	0.37942	0.37944	1.3765	75.760	75.762	1426.1	-0.23676	1517.8	0.56775	0.074940	0.00037783	2646.7	42.909	45.220	162.58	25.628	34.038	412.61	505.66	9.0905	0.017084
283.16	0.0012290	55.489	0.018022	0.75776	0.75778	2.7245	75.501	75.583	1447.1	-0.23250	1305.6	0.57873	0.074220	0.00052250	1913.9	43.032	45.385	160.33	25.706	34.134	416.17	432.59	9.2387	0.017413
288.16	0.0017069	55.456	0.018032	1.1354	1.1354	4.0464	75.209	75.462	1465.8	-0.22858	1137.3	0.58876	0.073484	0.00071322	1402.1	43.156	45.549	158.17	25.786	34.233	419.70	371.49	9.3901	0.017747
293.16	0.0023408	55.406	0.018048	1.5124	1.5125	5.3438	74.889	75.382	1482.2	-0.22491	1001.4	0.59797	0.072735	0.00096164	1039.9	43.279	45.713	156.12	25.868	34.335	423.19	320.54	9.5444	0.018088
298.16	0.0031718	55.342	0.018069	1.8892	1.8893	6.6182	74.545	75.333	1496.6	-0.22146	889.83	0.60648	0.071971	0.0012816	780.29	43.401	45.876	154.15	25.951	34.442	426.63	278.11	9.7012	0.018434
303.16	0.0042494	55.264	0.018095	2.2658	2.2659	7.8707	74.178	75.305	1509.0	-0.21819	797.05	0.61435	0.071193	0.0016892	591.99	43.524	46.039	152.26	26.037	34.554	430.04	242.78	9.8605	0.018786
308.16	0.0056321	55.175	0.018124	2.6423	2.6424	9.1025	73.791	75.295	1519.7	-0.21505	718.98	0.62166	0.070401	0.0022034	453.84	43.645	46.201	150.45	26.125	34.671	433.40	213.32	10.022	0.019145
313.16	0.0073889	55.074	0.018157	3.0188	3.0189	10.314	73.387	75.297	1528.8	-0.21203	652.59	0.62845	0.069595	0.0028458	351.39	43.766	46.363	148.72	26.217	34.795	436.72	188.69	10.185	0.019510
318.16	0.0095999	54.963	0.018194	3.3953	3.3955	11.507	72.968	75.310	1536.3	-0.20910	595.65	0.63475	0.068775	0.0036412	274.64	43.887	46.523	147.06	26.313	34.928	439.99	168.01	10.350	0.019882
323.16	0.012358	54.842	0.018234	3.7719	3.7721	12.682	72.536	75.332	1542.4	-0.20624	546.41	0.64059	0.067942	0.0046175	216.57	44.007	46.683	145.47	26.416	35.072	443.22	150.58	10.517	0.020262
328.16	0.015770	54.712	0.018278	4.1486	4.1489	13.838	72.092	75.361	1547.2	-0.20343	503.53	0.64599	0.067096	0.0058063	172.23	44.126	46.842	143.94	26.526	35.227	446.39	135.79	10.685	0.020649
333.16	0.019956	54.573	0.018324	4.5255	4.5258	14.978	71.640	75.396	1550.8	-0.20066	465.95	0.65097	0.066237	0.0072429	138.07	44.244	46.999	142.46	26.644	35.396	449.51	123.19	10.854	0.021044
338.16	0.025053	54.427	0.018373	4.9025	4.9030	16.102	71.179	75.439	1553.3	-0.19791	432.82	0.65554	0.065364	0.0089661	111.53	44.361	47.155	141.05	26.771	35.581	452.57	112.37	11.024	0.021448
343.16	0.031214	54.272	0.018426	5.2798	5.2804	17.209	70.713	75.488	1554.6	-0.19516	403.47	0.65973	0.064479	0.011019	90.752	44.477	47.310	139.69	26.909	35.783	455.58	103.02	11.195	0.021861
348.16	0.038612	54.110	0.018481	5.6574	5.6581	18.301	70.244	75.544	1554.9	-0.19242	377.35	0.66353	0.063581	0.013449	74.355	44.592	47.463	138.38	27.059	36.004	458.52	94.900	11.367	0.022284
353.16	0.047434	53.941	0.018539	6.0352	6.0361	19.379	69.771	75.608	1554.3	-0.18965	353.99	0.66697	0.062671	0.016307	61.322	44.706	47.615	137.11	27.222	36.247	461.39	87.799	11.539	0.022718
358.16	0.057890	53.765	0.018600	6.4134	6.4145	20.442	69.298	75.679	1552.8	-0.18685	333.02	0.67005	0.061749	0.019650	50.890	44.819	47.765	135.89	27.400	36.513	464.20	81.552	11.712	0.023162
363.16	0.070208	53.582	0.018663	6.7919	6.7932	21.492	68.825	75.759	1550.4	-0.18402	314.13	0.67278	0.060814	0.023538	42.484	44.930	47.912	134.72	27.592	36.805	466.94	76.024	11.885	0.023619
368.16	0.084640	53.392	0.018729	7.1709	7.1724	22.528	68.353	75.848	1547.2	-0.18113	297.05	0.67516	0.059868	0.028036	35.668	45.039	48.058	133.58	27.802	37.124	469.61	71.103	12.059	0.024088
373.16	0.10145	53.196	0.018798	7.5502	7.5522	23.552	67.883	75.947	1543.1	-0.17818	281.55	0.67721	0.058910	0.033215	30.107	45.147	48.201	132.48	28.029	37.473	472.20	66.699	12.232	0.024571
378.16	0.12094	52.994	0.018870	7.9301	7.9324	24.563	67.417	76.055	1538.4	-0.17517	267.45	0.67894	0.057941	0.039148	25.544	45.253	48.342	131.42	28.276	37.855	474.71	62.735	12.406	0.025068
383.16	0.14343	52.785	0.018945	8.3106	8.3133	25.563	66.956	76.175	1532.9	-0.17207	254.59	0.68035	0.056960	0.045916	21.779	45.357	48.480	130.39	28.543	38.272	477.14	59.146	12.580	0.025580
388.16	0.16924	52.571	0.019022	8.6916	8.6948	26.551	66.498	76.306	1526.7	-0.16889	242.81	0.68145	0.055968	0.053604	18.655	45.459	48.616	129.40	28.832	38.726	479.48	55.879	12.753	0.026108
393.16	0.19874	52.350	0.019102	9.0733	9.0771	27.528	66.047	76.448	1519.9	-0.16560	232.01	0.68224	0.054966	0.062303	16.051	45.558	48.748	128.43	29.143	39.220	481.74	52.890	12.927	0.026653
398.16	0.23231	52.123	0.019185	9.4557	9.4601	28.494	65.601	76.604	1512.4	-0.16220	222.08	0.68274	0.053953	0.072107	13.868	45.656	48.877	127.49	29.478	39.755	483.90	50.140	13.100	0.027215
403.16	0.27036	51.891	0.019271	9.8388	9.8440	29.450	65.161	76.772	1504.3	-0.15869	212.92	0.68295	0.052930	0.083119	12.031	45.751	49.003	126.58	29.838	40.335	485.97	47.596	13.273	0.027796
408.16	0.31332	51.652	0.019360	10.223	10.229	30.397	64.728	76.955	1495.5	-0.15504	204.46	0.68288	0.051897	0.095446	10.477	45.843	49.125	125.69	30.222	40.960	487.94	45.234	13.446	0.028396
413.16	0.36164	51.408	0.019452	10.608	10.615	31.334	64.302	77.152	1486.2	-0.15125	196.63	0.68252	0.050854	0.10920	9.1575	45.932	49.244	124.83	30.631	41.634	489.82	43.029	13.618	0.029017
418.16	0.41580	51.157	0.019547	10.993	11.002	32.263	63.883	77.365	1476.3	-0.14731	189.36	0.68190	0.049801	0.12450	8.0320	46.019	49.358	123.99	31.064	42.356	491.60	40.965	13.790	0.029659
423.16	0.47629	50.901	0.019646	11.380	11.390	33.182	63.471	77.594	1465.8	-0.14319	182.60	0.68101	0.048739	0.14148	7.0684	46.102	49.469	123.17	31.522	43.128	493.27	39.024	13.962	0.030323
428.16	0.54364	50.639	0.019748	11.768	11.779	34.094	63.067	77.839	1454.8	-0.13890	176.30	0.67987	0.047668	0.16026	6.2400	46.182	49.575	122.37	32.004	43.952	494.84	37.196	14.133	0.031010
433.16	0.61839	50.371	0.019853	12.157	12.170	34.998	62.670	78.103	1443.2	-0.13442	170.42	0.67873	0.046589	0.18098	5.5254	46.259	49.676	121.59	32.509	44.828	496.30	35.470	14.304	0.031722
